0,24
1,19
2,25
3,49
4,102
5,185
6,276
7,304
8,300
9,306
10,291
11,304
12,315
13,379
14,310
15,349
16,348
17,342
18,324
19,354
20,314
21,310
22,329
23,331
24,326
25,341
26,343
27,335
28,364
29,382
30,351
31,423
32,401
33,388
34,360
35,386
36,417
37,445
38,486
39,451
40,442
41,453
42,459
43,451
44,409
45,405
46,393
47,337
48,346
49,387
50,364
51,383
52,392
53,350
54,331
55,323
56,307
57,278
58,336
59,287
60,301
61,306
62,294
63,320
64,304
65,324
66,385
67,348
68,379
69,396
70,399
71,404
72,443
73,459
74,424
75,451
76,402
77,430
78,458
79,455
80,496
81,490
82,511
83,513
84,522
85,509
86,553
87,571
88,680
89,780
90,893
91,1078
92,1194
93,1275
94,1329
95,1160
96,1124
97,1010
98,908
99,808
100,724
101,736
102,721
103,695
104,705
105,652
106,629
107,669
108,651
109,701
110,678
111,745
112,759
113,872
114,978
115,1140
116,1396
117,1550
118,1763
119,1876
120,1960
121,1907
122,1817
123,1622
124,1564
125,1540
126,1486
127,1533
128,1480
129,1437
130,1326
131,1277
132,1056
133,960
134,852
135,800
136,795
137,826
138,702
139,733
140,648
141,642
142,605
143,631
144,635
145,508
146,559
147,589
148,665
149,775
150,819
151,985
152,945
153,943
154,852
155,789
156,700
157,576
158,577
159,514
160,423
161,396
162,417
163,402
164,386
165,445
166,409
167,414
168,413
169,377
170,380
171,373
172,385
173,354
174,362
175,314
176,270
177,240
178,234
179,229
180,191
181,174
182,149
183,148
184,109
185,110
186,113
187,99
188,98
189,85
190,76
191,49
192,40
193,42
194,28
195,30
196,31
197,32
198,30
199,22
200,23
201,31
202,26
203,32
204,21
205,23
206,24
207,20
208,18
209,18
210,20
211,20
212,24
213,22
214,21
215,15
216,26
217,17
218,26
219,27
220,14
221,25
222,33
223,28
224,35
225,33
226,37
227,39
228,62
229,65
230,140
231,195
232,270
233,421
234,605
235,848
236,1208
237,978
238,748
239,415
240,267
241,259
242,259
243,259
244,290
245,236
246,117
247,71
248,30
249,30
250,42
251,33
252,53
253,40
254,51
255,253
